"";"date";"year";"month";"day";"co2"
"152";1976-03-01;1976;3;1;329,2
"153";1976-03-02;1976;3;2;329,17
"154";1976-03-03;1976;3;3;329,07
"155";1976-03-04;1976;3;4;329,01
"156";1976-03-05;1976;3;5;329,07
"157";1976-03-06;1976;3;6;329,07
"158";1976-03-07;1976;3;7;329,11
"159";1976-03-08;1976;3;8;329,11
"160";1976-03-09;1976;3;9;329,17
"161";1976-03-10;1976;3;10;329,16
"162";1976-03-11;1976;3;11;329,12
"163";1976-03-12;1976;3;12;329,1
"164";1976-03-13;1976;3;13;329,01
"165";1976-03-14;1976;3;14;329,11
"166";1976-03-15;1976;3;15;329,08
"167";1976-03-16;1976;3;16;329,1
"168";1976-03-17;1976;3;17;329,06
"169";1976-03-18;1976;3;18;329,08
"170";1976-03-19;1976;3;19;329,01
"171";1976-03-20;1976;3;20;328,97
"172";1976-03-21;1976;3;21;328,95
"173";1976-03-22;1976;3;22;328,91
"174";1976-03-23;1976;3;23;328,81
"175";1976-03-24;1976;3;24;328,56
"176";1976-03-25;1976;3;25;329,1
"177";1976-03-26;1976;3;26;329,2
"178";1976-03-27;1976;3;27;329,19
"179";1976-03-28;1976;3;28;329,17
"180";1976-03-29;1976;3;29;329,08
"181";1976-03-30;1976;3;30;329,04
"182";1976-03-31;1976;3;31;329,03
"183";1976-04-01;1976;4;1;329,02
"184";1976-04-02;1976;4;2;329,08
"185";1976-04-03;1976;4;3;329,12
"186";1976-04-04;1976;4;4;329,07
"187";1976-04-05;1976;4;5;329,04
"188";1976-04-06;1976;4;6;329,02
"189";1976-04-07;1976;4;7;329
"190";1976-04-08;1976;4;8;329,04
"191";1976-04-09;1976;4;9;329,04
"192";1976-04-10;1976;4;10;329,02
"193";1976-04-11;1976;4;11;329
"194";1976-04-12;1976;4;12;329,01
"195";1976-04-13;1976;4;13;329,04
"196";1976-04-14;1976;4;14;329,04
"197";1976-04-15;1976;4;15;329,01
"198";1976-04-16;1976;4;16;329,03
"199";1976-04-17;1976;4;17;329,02
"200";1976-04-18;1976;4;18;328,98
"201";1976-04-19;1976;4;19;328,99
"202";1976-04-20;1976;4;20;329
"203";1976-04-21;1976;4;21;328,99
"204";1976-04-22;1976;4;22;329,02
"205";1976-04-23;1976;4;23;329,01
"206";1976-04-24;1976;4;24;329,04
"207";1976-04-25;1976;4;25;329,07
"208";1976-04-26;1976;4;26;329,03
"209";1976-04-27;1976;4;27;329,07
"210";1976-04-28;1976;4;28;329,17
"211";1976-04-29;1976;4;29;329,06
"212";1976-04-30;1976;4;30;329,1
"213";1976-05-01;1976;5;1;329,17
"214";1976-05-02;1976;5;2;329,12
"215";1976-05-03;1976;5;3;329,05
"216";1976-05-04;1976;5;4;329,02
"217";1976-05-05;1976;5;5;329,03
"218";1976-05-06;1976;5;6;329,12
"219";1976-05-07;1976;5;7;329,14
"220";1976-05-08;1976;5;8;329,02
"221";1976-05-09;1976;5;9;329,09
"222";1976-05-10;1976;5;10;329,14
"223";1976-05-11;1976;5;11;329,14
"224";1976-05-12;1976;5;12;329,11
"225";1976-05-13;1976;5;13;329,1
"226";1976-05-14;1976;5;14;329,1
"227";1976-05-15;1976;5;15;329,05
"228";1976-05-16;1976;5;16;329,05
"229";1976-05-17;1976;5;17;329,07
"230";1976-05-18;1976;5;18;329,01
"231";1976-05-19;1976;5;19;329,02
"232";1976-05-20;1976;5;20;329,05
"233";1976-05-21;1976;5;21;329,06
"234";1976-05-22;1976;5;22;329,08
"235";1976-05-23;1976;5;23;329,13
"236";1976-05-24;1976;5;24;329,13
"237";1976-05-25;1976;5;25;329,13
"238";1976-05-26;1976;5;26;329,19
"239";1976-05-27;1976;5;27;329,17
"240";1976-05-28;1976;5;28;329,11
"241";1976-05-29;1976;5;29;329,11
"242";1976-05-30;1976;5;30;329,21
"243";1976-05-31;1976;5;31;329,13
"244";1976-06-01;1976;6;1;329,14
"245";1976-06-02;1976;6;2;329,16
"246";1976-06-03;1976;6;3;329,22
"247";1976-06-04;1976;6;4;329,26
"248";1976-06-05;1976;6;5;329,25
"249";1976-06-06;1976;6;6;329,19
"250";1976-06-07;1976;6;7;329,38
"251";1976-06-08;1976;6;8;329,35
"252";1976-06-09;1976;6;9;329,39
"253";1976-06-10;1976;6;10;329,29
"254";1976-06-11;1976;6;11;329,4
"255";1976-06-12;1976;6;12;329,31
"256";1976-06-13;1976;6;13;329,31
"257";1976-06-14;1976;6;14;329,22
"258";1976-06-15;1976;6;15;329,26
"259";1976-06-16;1976;6;16;329,27
"260";1976-06-17;1976;6;17;329,26
"261";1976-06-18;1976;6;18;329,28
"262";1976-06-19;1976;6;19;329,27
"263";1976-06-20;1976;6;20;329,23
"264";1976-06-21;1976;6;21;329,22
"265";1976-06-22;1976;6;22;329,2
"266";1976-06-23;1976;6;23;329,41
"267";1976-06-24;1976;6;24;329,54
"268";1976-06-25;1976;6;25;329,5
"269";1976-06-26;1976;6;26;329,48
"270";1976-06-27;1976;6;27;329,5
"271";1976-06-28;1976;6;28;329,56
"272";1976-06-29;1976;6;29;329,55
"273";1976-06-30;1976;6;30;329,41
"274";1976-07-01;1976;7;1;329,51
"275";1976-07-02;1976;7;2;329,49
"276";1976-07-03;1976;7;3;329,58
"277";1976-07-04;1976;7;4;329,58
"278";1976-07-05;1976;7;5;329,61
"279";1976-07-06;1976;7;6;329,65
"280";1976-07-07;1976;7;7;329,63
"281";1976-07-08;1976;7;8;329,6
"282";1976-07-09;1976;7;9;329,56
"283";1976-07-10;1976;7;10;329,58
"284";1976-07-11;1976;7;11;329,62
"285";1976-07-12;1976;7;12;329,64
"286";1976-07-13;1976;7;13;329,66
"287";1976-07-14;1976;7;14;329,67
"288";1976-07-15;1976;7;15;329,7
"289";1976-07-16;1976;7;16;329,75
"290";1976-07-17;1976;7;17;329,73
"291";1976-07-18;1976;7;18;329,74
"292";1976-07-19;1976;7;19;329,74
"293";1976-07-20;1976;7;20;329,69
"294";1976-07-21;1976;7;21;329,66
"295";1976-07-22;1976;7;22;329,72
"296";1976-07-23;1976;7;23;329,75
"297";1976-07-24;1976;7;24;329,72
"298";1976-07-25;1976;7;25;329,73
"299";1976-07-26;1976;7;26;329,78
"300";1976-07-27;1976;7;27;329,77
"301";1976-07-28;1976;7;28;329,79
"302";1976-07-29;1976;7;29;329,88
"303";1976-07-30;1976;7;30;329,89
"304";1976-07-31;1976;7;31;330,03
"305";1976-08-01;1976;8;1;330,08
"306";1976-08-02;1976;8;2;330
"307";1976-08-03;1976;8;3;329,93
"308";1976-08-04;1976;8;4;330,03
"309";1976-08-05;1976;8;5;330,02
"310";1976-08-06;1976;8;6;329,95
"311";1976-08-07;1976;8;7;329,89
"312";1976-08-08;1976;8;8;329,95
"313";1976-08-09;1976;8;9;330,02
"314";1976-08-10;1976;8;10;330,07
"315";1976-08-11;1976;8;11;330,07
"316";1976-08-12;1976;8;12;330,35
"317";1976-08-13;1976;8;13;330,23
"318";1976-08-14;1976;8;14;330,23
"319";1976-08-15;1976;8;15;330,17
"320";1976-08-16;1976;8;16;330,15
"321";1976-08-17;1976;8;17;330,12
"322";1976-08-18;1976;8;18;330,05
"323";1976-08-19;1976;8;19;330,05
"324";1976-08-20;1976;8;20;330,08
"325";1976-08-21;1976;8;21;330,13
"326";1976-08-22;1976;8;22;330,32
"327";1976-08-23;1976;8;23;330,29
"328";1976-08-24;1976;8;24;330,12
"329";1976-08-25;1976;8;25;330,18
"330";1976-08-26;1976;8;26;330,17
"331";1976-08-27;1976;8;27;330,19
"332";1976-08-28;1976;8;28;330,18
"333";1976-08-29;1976;8;29;330,29
"334";1976-08-30;1976;8;30;330,35
"335";1976-08-31;1976;8;31;330,4
"336";1976-09-01;1976;9;1;330,41
"337";1976-09-02;1976;9;2;330,55
"338";1976-09-03;1976;9;3;330,53
"339";1976-09-04;1976;9;4;330,53
"340";1976-09-05;1976;9;5;330,61
"341";1976-09-06;1976;9;6;330,58
"342";1976-09-07;1976;9;7;330,59
"343";1976-09-08;1976;9;8;330,54
"344";1976-09-09;1976;9;9;330,4
"345";1976-09-10;1976;9;10;330,38
"346";1976-09-11;1976;9;11;330,34
"347";1976-09-12;1976;9;12;330,35
"348";1976-09-13;1976;9;13;330,39
"349";1976-09-14;1976;9;14;330,36
"350";1976-09-15;1976;9;15;330,35
"351";1976-09-16;1976;9;16;330,37
"352";1976-09-17;1976;9;17;330,44
"353";1976-09-18;1976;9;18;330,62
"354";1976-09-19;1976;9;19;330,67
"355";1976-09-20;1976;9;20;330,6
"356";1976-09-21;1976;9;21;330,57
"357";1976-09-22;1976;9;22;330,67
"358";1976-09-23;1976;9;23;330,54
"359";1976-09-24;1976;9;24;330,48
"360";1976-09-25;1976;9;25;330,44
"361";1976-09-26;1976;9;26;330,38
"362";1976-09-27;1976;9;27;330,46
"363";1976-09-28;1976;9;28;330,44
"364";1976-09-29;1976;9;29;330,5
"365";1976-09-30;1976;9;30;330,43
"366";1976-10-01;1976;10;1;330,58
"367";1976-10-02;1976;10;2;330,49
"368";1976-10-03;1976;10;3;330,45
"369";1976-10-04;1976;10;4;330,49
"370";1976-10-05;1976;10;5;330,55
"371";1976-10-06;1976;10;6;330,58
"372";1976-10-07;1976;10;7;330,59
"373";1976-10-08;1976;10;8;330,55
"374";1976-10-09;1976;10;9;330,54
"375";1976-10-10;1976;10;10;330,52
"376";1976-10-11;1976;10;11;330,53
"377";1976-10-12;1976;10;12;330,46
"378";1976-10-13;1976;10;13;330,49
"379";1976-10-14;1976;10;14;330,54
"380";1976-10-15;1976;10;15;330,59
"381";1976-10-16;1976;10;16;330,59
"382";1976-10-17;1976;10;17;330,62
"383";1976-10-18;1976;10;18;330,6
"384";1976-10-19;1976;10;19;330,47
"385";1976-10-20;1976;10;20;330,47
"386";1976-10-21;1976;10;21;330,54
"387";1976-10-22;1976;10;22;330,58
"388";1976-10-23;1976;10;23;330,47
"389";1976-10-24;1976;10;24;330,55
"390";1976-10-25;1976;10;25;330,59
"391";1976-10-26;1976;10;26;330,43
"392";1976-10-27;1976;10;27;330,34
"393";1976-10-28;1976;10;28;330,38
"394";1976-10-29;1976;10;29;330,45
"395";1976-10-30;1976;10;30;330,52
"396";1976-10-31;1976;10;31;330,52
"397";1976-11-01;1976;11;1;330,45
"398";1976-11-02;1976;11;2;330,5
"399";1976-11-03;1976;11;3;330,54
"400";1976-11-04;1976;11;4;330,59
"401";1976-11-05;1976;11;5;330,61
"402";1976-11-06;1976;11;6;330,62
"403";1976-11-07;1976;11;7;330,49
"404";1976-11-08;1976;11;8;330,47
"405";1976-11-09;1976;11;9;330,5
"406";1976-11-10;1976;11;10;330,53
"407";1976-11-11;1976;11;11;330,57
"408";1976-11-12;1976;11;12;330,56
"409";1976-11-13;1976;11;13;330,58
"410";1976-11-14;1976;11;14;330,49
"411";1976-11-15;1976;11;15;330,41
"412";1976-11-16;1976;11;16;330,36
"413";1976-11-17;1976;11;17;330,45
"414";1976-11-18;1976;11;18;330,44
"415";1976-11-19;1976;11;19;330,46
"416";1976-11-20;1976;11;20;330,51
"417";1976-11-21;1976;11;21;330,44
"418";1976-11-22;1976;11;22;330,38
"419";1976-11-23;1976;11;23;330,49
"420";1976-11-25;1976;11;25;331,18
"421";1976-11-26;1976;11;26;331,19
"422";1976-11-27;1976;11;27;331,11
"423";1976-11-28;1976;11;28;330,98
"424";1976-11-29;1976;11;29;330,8
"425";1976-11-30;1976;11;30;330,83
"426";1976-12-01;1976;12;1;330,75
"427";1976-12-02;1976;12;2;330,77
"428";1976-12-03;1976;12;3;330,76
"429";1976-12-05;1976;12;5;330,76
"430";1976-12-06;1976;12;6;330,76
"431";1976-12-08;1976;12;8;330,73
"432";1976-12-17;1976;12;17;330,64
"433";1976-12-18;1976;12;18;330,75
"434";1976-12-19;1976;12;19;330,77
"435";1976-12-21;1976;12;21;330,54
"436";1976-12-22;1976;12;22;330,52
"437";1976-12-23;1976;12;23;330,53
"438";1976-12-24;1976;12;24;330,51
"439";1976-12-25;1976;12;25;330,55
"440";1976-12-26;1976;12;26;330,63
"441";1976-12-27;1976;12;27;330,58
"442";1976-12-28;1976;12;28;330,61
"443";1976-12-29;1976;12;29;330,46
"444";1976-12-30;1976;12;30;330,56
"445";1976-12-31;1976;12;31;330,42
"446";1977-01-01;1977;1;1;330,4
"447";1977-01-02;1977;1;2;330,44
"448";1977-01-03;1977;1;3;330,43
"449";1977-01-04;1977;1;4;330,41
"450";1977-01-05;1977;1;5;330,4
"451";1977-01-06;1977;1;6;330,42
"452";1977-01-07;1977;1;7;330,44
"453";1977-01-08;1977;1;8;330,41
"454";1977-01-09;1977;1;9;330,42
"455";1977-01-10;1977;1;10;330,41
"456";1977-01-11;1977;1;11;330,39
"457";1977-01-12;1977;1;12;330,34
"458";1977-01-13;1977;1;13;330,19
"459";1977-01-14;1977;1;14;330,06
"460";1977-01-18;1977;1;18;330,14
"461";1977-01-19;1977;1;19;330,32
"462";1977-01-20;1977;1;20;330,23
"463";1977-01-21;1977;1;21;330,25
"464";1977-01-22;1977;1;22;330,25
"465";1977-01-23;1977;1;23;330,18
"466";1977-01-24;1977;1;24;330,24
"467";1977-01-25;1977;1;25;330,23
"468";1977-01-26;1977;1;26;330,21
"469";1977-01-27;1977;1;27;330,2
"470";1977-01-28;1977;1;28;330,12
"471";1977-01-29;1977;1;29;330,2
"472";1977-01-30;1977;1;30;330,15
"473";1977-01-31;1977;1;31;330,17
"474";1977-02-01;1977;2;1;330,16
"475";1977-02-02;1977;2;2;330,18
"476";1977-02-03;1977;2;3;330,16
"477";1977-02-04;1977;2;4;330,16
"478";1977-02-07;1977;2;7;331,83
"479";1977-02-08;1977;2;8;331,66
"480";1977-02-09;1977;2;9;331,49
"481";1977-02-10;1977;2;10;331,44
"482";1977-02-11;1977;2;11;331,35
"483";1977-02-12;1977;2;12;331,36
"484";1977-02-13;1977;2;13;331,28
"485";1977-02-14;1977;2;14;331,41
"486";1977-02-15;1977;2;15;331,33
"487";1977-02-16;1977;2;16;331,25
"488";1977-02-17;1977;2;17;331,25
"489";1977-02-18;1977;2;18;331,24
"490";1977-02-19;1977;2;19;331,29
"491";1977-02-20;1977;2;20;331,15
"492";1977-02-21;1977;2;21;331,22
"493";1977-02-22;1977;2;22;331,15
"494";1977-02-23;1977;2;23;331,13
"495";1977-02-24;1977;2;24;331,12
"496";1977-02-25;1977;2;25;331,13
"497";1977-02-26;1977;2;26;331,16
"498";1977-02-27;1977;2;27;331,11
"499";1977-02-28;1977;2;28;330,93
"500";1977-03-01;1977;3;1;331,06
"501";1977-03-02;1977;3;2;331,04
"502";1977-03-03;1977;3;3;330,94
"503";1977-03-04;1977;3;4;331,06
"504";1977-03-05;1977;3;5;331,07
"505";1977-03-06;1977;3;6;331,05
"506";1977-03-07;1977;3;7;331,03
"507";1977-03-08;1977;3;8;330,97
"508";1977-03-09;1977;3;9;330,97
"509";1977-03-10;1977;3;10;330,98
"510";1977-03-11;1977;3;11;330,98
"511";1977-03-12;1977;3;12;330,9
"512";1977-03-13;1977;3;13;330,81
"513";1977-03-14;1977;3;14;330,84
"514";1977-03-15;1977;3;15;330,9
"515";1977-03-16;1977;3;16;330,94
"516";1977-03-17;1977;3;17;330,95
"517";1977-03-18;1977;3;18;330,94
"518";1977-03-19;1977;3;19;330,88
"519";1977-03-20;1977;3;20;330,89
"520";1977-03-21;1977;3;21;330,93
"521";1977-03-22;1977;3;22;330,9
"522";1977-03-23;1977;3;23;330,96
"523";1977-03-24;1977;3;24;330,92
"524";1977-03-25;1977;3;25;330,9
"525";1977-03-26;1977;3;26;330,92
"526";1977-03-27;1977;3;27;330,87
"527";1977-03-28;1977;3;28;330,91
"528";1977-03-29;1977;3;29;330,97
"529";1977-03-30;1977;3;30;330,99
"530";1977-03-31;1977;3;31;330,94
"531";1977-04-01;1977;4;1;330,99
"532";1977-04-02;1977;4;2;331,04
"533";1977-04-03;1977;4;3;330,98
"534";1977-04-04;1977;4;4;330,97
