"";"date";"gesamt"
"250";2012-03-13;2386
"251";2012-03-14;2738
"252";2012-03-15;3019
"253";2012-03-16;3331
"254";2012-03-17;2806
"255";2012-03-18;2131
"256";2012-03-19;1359
"257";2012-03-20;3075
"258";2012-03-21;3335
"259";2012-03-22;3403
"260";2012-03-23;3433
"261";2012-03-24;1962
"262";2012-03-25;2312
"263";2012-03-26;3463
"264";2012-03-27;3769
"265";2012-03-28;3769
"266";2012-03-29;3264
"267";2012-03-30;1741
"268";2012-03-31;1701
"269";2012-04-01;1799
"270";2012-04-02;2980
"271";2012-04-03;2500
"272";2012-04-04;2929
"273";2012-04-05;1764
"274";2012-04-06;376
"275";2012-04-07;911
"276";2012-04-08;387
"277";2012-04-09;729
"278";2012-04-10;2853
"279";2012-04-11;1577
"280";2012-04-12;2455
"281";2012-04-13;1614
"282";2012-04-14;1405
"283";2012-04-15;592
"284";2012-04-16;1220
"285";2012-04-17;2988
"286";2012-04-18;2565
"287";2012-04-19;3396
"288";2012-04-20;2189
"289";2012-04-21;2918
"290";2012-04-22;994
"291";2012-04-23;3375
"292";2012-04-24;2162
"293";2012-04-25;4140
"294";2012-04-26;4605
"295";2012-04-27;4609
"296";2012-04-28;3976
"297";2012-04-29;2392
"298";2012-04-30;4653
"299";2012-05-01;3787
"300";2012-05-02;4817
"301";2012-05-03;3914
"302";2012-05-04;5039
"303";2012-05-05;2213
"304";2012-05-06;846
"305";2012-05-07;3726
"306";2012-05-08;5133
"307";2012-05-09;3598
"308";2012-05-10;5347
"309";2012-05-11;5144
"310";2012-05-12;990
"311";2012-05-13;1783
"312";2012-05-14;4392
"313";2012-05-15;3901
"314";2012-05-16;1951
"315";2012-05-17;1917
"316";2012-05-18;3331
"317";2012-05-19;3580
"318";2012-05-20;2995
"319";2012-05-21;4196
"320";2012-05-22;4189
"321";2012-05-23;4329
"322";2012-05-24;4484
"323";2012-05-25;4811
"324";2012-05-26;3375
"325";2012-05-27;2625
"326";2012-05-28;2357
"327";2012-05-29;2926
"328";2012-05-30;3043
"329";2012-05-31;3265
"330";2012-06-01;2517
"331";2012-06-02;2912
"332";2012-06-03;1465
"333";2012-06-04;1565
"334";2012-06-05;2993
"335";2012-06-06;2654
"336";2012-06-07;2691
"337";2012-06-08;1718
"338";2012-06-09;1585
"339";2012-06-10;1048
"340";2012-06-11;3151
"341";2012-06-12;2563
"342";2012-06-13;2437
"343";2012-06-14;4252
"344";2012-06-15;4711
"345";2012-06-16;3707
"346";2012-06-17;3331
"347";2012-06-18;5292
"348";2012-06-19;4828
"349";2012-06-20;3630
"350";2012-06-21;4698
"351";2012-06-22;4406
